slug	exit_code	cwd	started_at	finished_at	command
openclaw-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:08Z	2026-07-23T08:32:08Z	openclaw --version
openclaw-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:08Z	2026-07-23T08:32:16Z	openclaw --help
openclaw-agents-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:16Z	2026-07-23T08:32:19Z	openclaw agents --help
openclaw-agents-add-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:19Z	2026-07-23T08:32:22Z	openclaw agents add --help
openclaw-agents-list-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:22Z	2026-07-23T08:32:25Z	openclaw agents list --help
openclaw-config-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:25Z	2026-07-23T08:32:28Z	openclaw config --help
openclaw-config-get-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:28Z	2026-07-23T08:32:31Z	openclaw config get --help
openclaw-config-set-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:31Z	2026-07-23T08:32:34Z	openclaw config set --help
openclaw-config-patch-help	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:34Z	2026-07-23T08:32:37Z	openclaw config patch --help
openclaw-config-file	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:38Z	2026-07-23T08:32:49Z	openclaw config file
openclaw-config-schema	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:49Z	2026-07-23T08:32:54Z	openclaw config schema
openclaw-config-validate	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:54Z	2026-07-23T08:32:58Z	openclaw config validate --json
openclaw-doctor-lint	1	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:32:58Z	2026-07-23T08:33:33Z	openclaw doctor --lint --json
git-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:33Z	2026-07-23T08:33:33Z	git --version
pwsh-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:33Z	2026-07-23T08:33:33Z	pwsh --version
bash-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:33Z	2026-07-23T08:33:34Z	bash --version
node-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:34Z	2026-07-23T08:33:34Z	node --version
npm-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:34Z	2026-07-23T08:33:34Z	npm --version
python-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:35Z	2026-07-23T08:33:35Z	python --version
py-version	0	/d/MicroConnect/project/openclaw-multi-agent	2026-07-23T08:33:35Z	2026-07-23T08:33:35Z	py --version
